129,3034,Evaporating Dish,20,,,
130,3034,Evaporating Dish Small,30,,,
131,3034,Face Shield,1,,,
132,3034,Fermentation Tubes,8,,,
133,3030,Filter Paper,1 box,,,
134,3031,Filter Paper,1 box,,,
135,3032,Filter Paper,1 box,,,
136,3033,Filter Paper,1 box,,,
137,3030,Fire Blanket,2,,,
138,3034,Flasks Quickfit Double-mouth,8,,,
139,3034,Fleakers 500 ml,9,,,
140,3030,Florence Flask 1000 ml.,12,,,
141,3030,Forceps,10,,,
142,3031,Forceps,10,,,
143,3032,Forceps,10,,,
144,3033,Forceps,10,,,
145,3034,Forceps,30,,,
146,3034,Fractional Distillation Set-up,3 boxes,,,
147,3034,Fume Cupboard Safelab,1,,,
148,3034,Fume Cupboard Safelab Mobile,2,,,
149,3030,Funnel,9,,,
150,3031,Funnel,10,,,
151,3032,Funnel,8,,,
152,3033,Funnel,10,,,
153,3034,Funnel,24,,,
154,3030,Funnel Holder,10,,,
155,3031,Funnel Holder,7,,,
156,3032,Funnel Holder,9,,,
157,3034,Funnel Rack wood,9,,,
158,3034,Funnel small,18,,,
159,3030,Funnel small,10,,,
160,3031,Funnel small,10,,,
161,3032,Funnel small,6,,,
162,3033,Funnel small,10,,,
163,3034,Gas Preparation Kit,2 boxes,,,
164,3034,Glass Cutter Humboldt,1,,,
165,3034,Glass Tubings,2 boxes,,,
166,3030,Goggles,24,,,
167,3031,Goggles,24,,,
168,3032,Goggles,24,,,
169,3033,Goggles,24,,,
170,3030,Graduated Cylinder   10 ml,12,,,
171,3031,Graduated Cylinder   10 ml,10,,,
172,3032,Graduated Cylinder   10 ml,11,,,
173,3033,Graduated Cylinder   10 ml,10,,,
174,3034,Graduated Cylinder   10 ml,16,,,
175,3030,Graduated Cylinder   25 ml,10,,,
176,3031,Graduated Cylinder   25 ml,10,,,
177,3032,Graduated Cylinder   25 ml,10,,,
178,3033,Graduated Cylinder   25 ml,10,,,
179,3034,Graduated Cylinder   25 ml,14,,,
180,3030,Graduated Cylinder   50 ml,10,,,
181,3031,Graduated Cylinder   50 ml,10,,,
182,3032,Graduated Cylinder   50 ml,10,,,
183,3033,Graduated Cylinder   50 ml,10,,,
184,3034,Graduated Cylinder   50 ml,12,,,
185,3030,Graduated Cylinder  100 ml,8,,,
186,3031,Graduated Cylinder  100 ml,7,,,
187,3032,Graduated Cylinder  100 ml,8,,,
188,3033,Graduated Cylinder  100 ml,8,,,
189,3034,Graduated Cylinder  250 ml,16,,,
190,3034,Graduated Cylinder  500 ml,1,,,
191,3034,Graduated Cylinder 100 ml,12,,,
192,3034,Graduated Cylinder 1000 ml,3,,,
193,3034,Graduated Cylinder 2000 ml,1,,,
194,3034,Grater 6-way,1,,,
195,3034,Hair Dryer,2,,,
196,3034,Heat of Combustion Apparatus,1,,,
197,3030,Heat Proof Mat,10,,,
198,3031,Heat Proof Mat,10,,,
199,3032,Heat Proof Mat,10,,,
200,3033,Heat Proof Mat,10,,,
201,3034,Hoffmann Electrolysis Apparatus,2 sets,,,
202,3032,Hotplate Cimarec 1,1,,,
203,3030,Hotplate Cimarec 2,1,,,
204,3031,Hotplate Cimarec 2,2,,,
205,3033,Hotplate Cimarec 2,1,,,
206,3030,Hotplate NUOVA II ,1,,,
207,3031,Hotplate NUOVA II ,1,,,
208,3032,Hotplate NUOVA II ,2,,,
209,3033,Hotplate NUOVA II ,1,,,
210,3030,Hotplate Thermolyne,1,,,
211,3032,Hotplate Thermolyne,2,,,
212,3033,Hotplate Thermolyne,1,,,
213,3032,Hotplate/ Stirrer Corning,2,,,
214,3034,Hydrometer,4,,,
215,3034,Ice Box,2,,,
216,3034,Immersion Heaters,4,,,
217,3030,Iron Clamp,10,,,
218,3031,Iron Clamp,10,,,
219,3032,Iron Clamp,14,,,
220,3033,Iron Clamp,10,,,
221,3030,Iron Clamp Large,16,,,
222,3034,Iron Ring,12,,,
223,3030,Iron Stands,16,,,
224,3031,Iron Stands,16,,,
225,3032,Iron Stands,16,,,
226,3032,Iron Stands,16,,,
227,3033,Iron Stands,16,,,
228,3030,Laboratory Apron,36,,,
229,3031,Laboratory Apron,24,,,
230,3032,Laboratory Apron,18,,,
231,3033,Laboratory Apron,20,,,
232,3034,Liebig Condenser (Distilling Tube),5,,,
233,3034,Litmus Paper Strips Blue,9 x ten books,,,
234,3034,Litmus Paper Strips Red,8 x ten books,,,
235,3034,Magdeburg Hemispheres,2,,,
236,3030,Magnetic Stirrer HANNA,2,,,
237,3031,Magnetic Stirrer HANNA,2,,,
238,3032,Magnetic Stirrer HANNA,3,,,
239,3033,Magnetic Stirrer HANNA,2,,,
240,3034,Magnetic Stirrer HANNA,4,,,
241,3034,Magnifying Lens,15,,,
242,3033,Melting Point Apparatus Digital,1,,,
243,3034,Melting Point Apparatus Philip Harris,1,,,
244,3034,Melting Point Tubes,11,,,
245,3034,Metal Expansion demo,8,,,
246,3034,Molecular Models Kit MOLYMOD 008  Organic,28,,,
247,3034,Molecular Models Kit Molymods Molecular Orbitals,4,,,
248,3034,Molecular Models Kit Molymods Shape of Molecules,3,,,
249,3034,Mortar Glass,9,,,
250,3034,Mortar Porcelain,24,,,
251,3034,Nylon Rope Kit,1,,,
252,3034,Orbit Colourwave Model Kit,6,,,
253,3034,Organic Chemistry Kit Corning,1,,,
254,3030,Oven Corsair,1,,,
255,3032,Oven Corsair,1,,,
256,3033,Oven Model 30GC QL,1,,,
257,3034,Pasteur Pipettes,6 boxes,,,
258,3030,Periodic Table of the Elements,1,,,
259,3031,Periodic Table of the Elements,1,,,
260,3032,Periodic Table of the Elements,1,,,
261,3034,Pestle,50,,,
262,3034,Petri Dish,25,,,
263,3034,pH Checker Hanna,20,,,
264,3034,pH Electrode Holder (HANNA),1,,,
265,3034,pH Paper Universal Indicator,45 boxes,,,
266,3034,pH/ EC/ TDS meter Hanna,1,,,
267,3034,pHydrion Test Paper,10 rolls,,,
268,3034,Pipet Pump GLASFIRN Red/ Pink,20,,,
269,3034,Pipet Pump GLASFIRN Yellow,12,,,
270,3034,Pipette Ball,20,,,
271,3034,Pipette Jar,1,,,
272,3034,Pipette Rack,1,,,
273,3034,Pipette Glass 1 ml,25,,,
274,3034,Pipette Glass 10 ml,48,,,
275,3034,Pipette Glass 25 ml,30,,,
276,3034,Pipette Glass 5 ml,8,,,
277,3034,Pipette Volumetric 10 ml,3,,,
278,3034,Pipette Volumetric 25 ml,27,,,
279,3034,Plastic Trough,12,,,
280,3034,Plastinated Preparations (Elements Chemicals),3 boxes,,,
281,3034,Polarimeter Philip Harris,2,,,
282,3034,Polyox Demo Kit,1,,,
283,3034,Porous Cup,19,,,
284,3030,Pot Holders,10,,,
285,3031,Pot Holders,10,,,
286,3032,Pot Holders,10,,,
287,3033,Pot Holders,10,,,
288,3034,Quickfit 27 BU Bibby Sterilin,11 boxes,,,
289,3034,Quickfit Corning,1 box,,,
290,3034,Reagent Bottle Rack,17,,,
291,3034,Safety Shield Large,2,,,
292,3030,Scoopula,10,,,
293,3031,Scoopula,12,,,
294,3032,Scoopula,14,,,
295,3033,Scoopula,10,,,
296,3034,Scoopula,12,,,
297,3034,Separating Funnel  50 ml,5,,,
298,3034,Separating Funnel 125 ml,12,,,
299,3034,Separating Funnel 250 ml,7,,,
300,3032,Sieve Screen,2,,,
301,3034,Spectrophotometer Carolina,1,,,
302,3034,Spinbar Magnetic Stirring Bar,30,,,
303,3034,Spotplate,24,,,
304,3034,Steam Bath,0,,,
305,3034,Stirrer SS10 Stuart Scientific,1,,,
306,3030,Stirring Rod,10,,,
307,3031,Stirring Rod,10,,,
308,3032,Stirring Rod,10,,,
309,3033,Stirring Rod,10,,,
310,3034,Syringe Glass 10 ml,13,,,
311,3034,Syringe Glass 100 ml,10,,,
312,3034,Syringe Plastic,60,,,
313,3030,Test Tube Holder,12,,,
314,3031,Test Tube Holder,12,,,
315,3032,Test Tube Holder,12,,,
316,3033,Test Tube Holder,14,,,
317,3030,Test Tube Rack,10,,,
318,3031,Test Tube Rack,13,,,
319,3032,Test Tube Rack,10,,,
320,3033,Test Tube Rack,11,,,
321,3032,Test Tube Rack large,11,,,
322,3033,Test Tube Rack large,6,,,
323,3034,Test Tube,300,,,
324,3030,Test Tube,40,,,
325,3031,Test Tube,40,,,
326,3032,Test Tube,40,,,
327,3033,Test Tube,40,,,
328,3034,Test Tube 16 x 125 mm,200,,,
329,3034,Test Tube 18 x 150 mm,20,,,
330,3034,Test Tube 25 x 200 mm,30,,,
331,3034,Test Tube Boiling,50,,,
332,3030,Test Tube Boiling,30,,,
333,3031,Test Tube Boiling,30,,,
334,3032,Test Tube Boiling,30,,,
335,3033,Test Tube Boiling,30,,,
336,3034,Test Tube Milton Roy Large,24,,,
337,3034,Test Tube Milton Roy Small,10,,,
338,3034,Test Tube Screw Cap,30,,,
339,3030,Thermometer,17,,,
340,3031,Thermometer,17,,,
341,3032,Thermometer,15,,,
342,3033,Thermometer,15,,,
343,3034,Thermometer Clamp,15,,,
344,3034,Thermometer Long 100 C,3,,,
345,3034,Thermometer Red Alcohol,70,,,
346,3034,Thermometer Soil,1,,,
347,3034,TLC Silica Gel 60,2 boxes,,,
348,3034,Tool Box Stanley,1,,,
349,3030,Tripod,10,,,
350,3031,Tripod,10,,,
351,3032,Tripod,10,,,
352,3034,Tripod for alcohol lamp,12,,,
353,3033,Tripod Large,10,,,
354,3034,U-tube,17,,,
355,3034,Vacuum Pump GAST,4,,,
356,3034,Volumetric Flask   50 ml,20,,,
357,3034,Volumetric Flask  100 ml,27,,,
358,3034,Volumetric Flask  250 ml,22,,,
359,3034,Volumetric Flask  500 ml,9,,,
360,3034,Volumetric Flask 1000 ml,6,,,
361,3034,Volumetric Flask 2000 ml,4,,,
362,3034,Wash Bottles,30,,,
363,3030,Watchglass,10,,,
364,3031,Watchglass,10,,,
365,3032,Watchglass,10,,,
366,3033,Watchglass,10,,,
367,3034,Watchglass,20,,,
368,3032,Water Bath Lab Line,2,,,
369,3032,Water Bath Shaking YAMATO,1,,,
