139,3034,Ethanedioic Acid (Oxalic Acid),600 g,
140,3034,Ethanol  96%,2500 ml,
141,3034,Ethanol  Absolute,1200 ml,
142,3034,Ethanol  Tech.,1500 ml,
143,3034,Ethyl Acetate,2300 ml,
144,3034,Ethyl Green,600 ml,
145,3034,Ethyl Methyl Ketone,600 ml,
146,3034,Ethylene Glycol,200 ml,
147,3034,Fehling's Solution,0,
148,3034,Flour,3000 g,
149,3034,Food Colors  assorted,20 bottles,
150,3034,Formaldehyde,1800 ml,
151,3034,Formic Acid,700 ml,
152,3034,Fructose,450 g,
153,3034,Fuchsine,45 g,
154,3034,Fumaric Acid,600 g,
155,3034,Gasoline,200 ml,
156,3034,Gelatine,2000 g,
157,3034,Gelatine  for Biology,0,
158,3034,Glass Wool,200 g,
159,3034,Glucose,400 g,
160,3034,Glycerine,850 ml,
161,3034,Glycerol,1200 ml,
162,3034,Glycin,95 g,
163,3034,Henna Powder,300 g,
164,3034,Heptane,2200 ml,
165,3034,Hexane,3000 ml,
166,3034,Hexanediamine Solution,0,
167,3034,Hexene  1-,500 ml,
168,3034,Honey,750 ml,
169,3034,Hydrochloric Acid,2100 ml,
170,3034,Hydrochloric Acid  Tech.,2000 ml,
171,3034,Hydrogen Peroxide  20 vol.,3500 ml,
172,3034,Hydrogen Peroxide  30%,2500 ml,
173,3034,Hydroquinone,900 g,
174,3034,Immersion Oil,350 ml,
175,3034,Indigo Carmine,23 g,
176,3034,Iodine,400 g,
177,3034,Iodoform,250 g,
178,3034,Iron (II) Chloride,200 g,
179,3034,Iron (II) Sulfate,550 g,
180,3034,Iron (II) Sulphide,1200 g,
181,3034,Iron (III)  Oxide,350 g,
182,3034,Iron (III) Chloride,450 g,
183,3034,Iron (III) Sulfate,350 g,
184,3034,Iron Fillings,300 g,
185,3034,Iron (III) Nitrate,300 g,
186,3034,Iron Powder,250 g,
187,3034,Iron Rods,1 pack,
188,3034,Iron Strips,250 g,
189,3034,Kaolin,0,
190,3034,Kerosene,1200 ml,
191,3034,Lactose,250 g,
192,3034,Lauric Acid,90 g,
193,3034,Lauroyl Peroxide,100 g,
194,3034,Lead Bromide,450 g,
195,3034,Lead Carbonate,600 g,
196,3034,Lead Chloride,300 g,
197,3034,Lead Chromate,100 g,
198,3034,Lead Dioxide,900 g,
199,3034,Lead Nitrate,150 g,
200,3034,Lead Oxide,1800 g,
201,3034,Lead Shots,600 g,
202,3034,Lead Strips,2800 g,
203,3034,Lead Sulfate,400 g,
204,3034,Light Dixie Red,50 g,
205,3034,Linseed Oil,700 ml,
206,3034,Lithium Carbonate,400 g,
207,3034,Lithium Chloride,450 g,
208,3034,Lithium Metal,600 g,
209,3034,Lithium Sulfate,450 g,
210,3034,Litmus Solution,0,
211,3034,Lubricating Oil,0,
212,3034,Luminol,3 g,
213,3034,Lycopodium Powder,300 g,
214,3034,Lye,850 g,
215,3034,Macademia Nut Oil,500 ml,
216,3034,Magnesium Carbonate,800 g,
217,3034,Magnesium Chloride,400 g,
218,3034,Magnesium Hydroxide,1100 g,
219,3034,Magnesium Nitrate,250 g,
220,3034,Magnesium Oxide,1000 g,
221,3034,Magnesium Powder,950 g,
222,3034,Magnesium Ribbon,180 g,
223,3034,Magnesium Sulphate,1150 g,
224,3034,Magnesium Turnings,60 g,
225,3034,Malachite Green,50 g,
226,3034,Maleic Acid,400 g,
227,3034,Malonic Acid,200 g,
228,3034,Manganese,100 g,
229,3034,Manganese Chloride,1200 g,
230,3034,Manganese Dioxide,1750 g,
231,3034,Manganese Sulphate,1500 g,
232,3034,Mercury (II) Chloride,0,
233,3034,Mercury (II) Oxide,120 g,
234,3034,Methanol,1900 ml,
235,3034,Methyl 3 Nitro Benzoate,0,
236,3034,Methyl Amine,500 ml,
237,3034,Methyl Benzoate,800 ml,
238,3034,Methyl Orange,35 g,
239,3034,Methyl Red,80 g,
240,3034,Methyl Salicylate,900 ml,
241,3034,Methylene Blue,28 g,
242,3034,Mineral Oil,120 ml,
243,1091,Mineral Wool,1 big roll,
244,3034,Naphthalene,600 g,
245,3034,Naphthalene Balls,100 g,
246,3034,Naphthol,100 g,
247,3034,Nichrome Wire,1 roll,
248,3034,Nickel Carbonate,150 g,
249,3034,Nickel Strips,25 g,
250,3034,Nickel Sulfate,300 g,
251,3034,Nitric Acid,1500 ml,
252,3034,Octane  Iso-,3000 ml,
253,3034,Oleic Acid,600 ml,
254,3034,Olive Oil,0,
255,3034,Orange IV,15 g,
256,3034,Paraffin Oil,1200 ml,
257,3034,Paraffin Wax,950 g,
258,3034,Peanut Oil,300 ml,
259,3034,Peppermint Oil,20 g,
260,3034,Petroleum Jelly,850 ml,
261,3034,Petroleum Jelly,550 g,
262,3034,Phenol Red,20 g,
263,3034,Phenolphthalein,360 g,
264,3034,Phenyl Alanine,25 g,
265,3034,Phenyl Salicylate,650 g,
266,3034,Phosphoric Acid,700 ml,
267,3034,Phosphotungstic Acid,50 g,
268,3034,Polyacrylamide,500 g,
269,3034,Polyox,200 ml,
270,3034,Polyvinyl Alcohol Powder,1600 g,
271,3034,Potassium Acetate,1000 ml,
272,3034,Potassium Bromate,25 g,
273,3034,Potassium Bromide,650 g,
274,3034,Potassium Carbonate,550 g,
275,3034,Potassium Chlorate,150 g,
276,3034,Potassium Chloride,600 g,
